IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT
361 9 0 0 1108.698711 -430.000000 7 99.974102 0.560000 1498 1498 0.000000
361 1 0 0 1298.595117 -640.000000 11 99.974102 0.560000 1498 1498 0.000000
361 4 0 0 1358.621016 -480.000000 10 99.974102 0.560000 1498 1498 0.000000
361 22 0 0 1108.698711 -430.000000 7 99.974102 0.560000 1498 1498 0.000000
361 29 0 0 1143.569219 -895.000000 12 99.974102 0.560000 1498 1498 0.000000
361 13 0 0 1028.724609 -410.000000 6 99.974102 0.560000 1498 1498 0.000000
361 16 0 0 1418.569219 -620.000000 12 99.974102 0.560000 1498 1498 0.000000
361 10 0 0 1313.439726 -1225.000000 17 99.974102 0.560000 1498 1498 0.000000
361 17 0 0 1288.658581 -350.014231 8 99.974102 0.560000 1498 1498 0.000000
361 7 0 0 1373.621016 -465.000000 10 99.974102 0.560000 1498 1498 0.000000
361 24 0 0 1093.646914 -645.000000 9 99.974102 0.560000 1498 1498 0.000000
361 20 0 0 1083.724609 -355.000000 6 99.974102 0.560000 1498 1498 0.000000
361 6 0 0 1093.569219 -945.000000 12 99.974102 0.560000 1498 1498 0.000000
361 11 0 0 853.828203 -185.000000 2 99.974102 0.560000 1498 1498 0.000000
361 21 0 0 1081.246055 -57.556250 3 99.974102 0.560000 1498 1498 0.000000
361 8 0 0 1518.387929 -1220.000000 19 99.974102 0.560000 1498 1498 0.000000
361 30 0 0 938.569219 -1100.000000 12 99.974102 0.560000 1498 1498 0.000000
361 27 0 0 808.880000 -30.000000 0 99.974102 0.560000 1498 1498 0.000000
421 27 0 0 838.880000 0.000000 0 99.974102 0.560000 1498 1498 0.000000
421 19 0 0 838.880000 0.000000 0 99.974102 0.560000 1498 1498 0.000000
421 18 0 0 1198.701406 -40.075000 4 99.974102 0.560000 1498 1498 671.666667
421 28 0 0 1178.529154 -760.065963 11 99.974102 0.560000 1498 1498 0.000000
421 30 0 0 988.517422 -1250.000000 14 99.974102 0.560000 1498 1498 0.000000
421 8 0 0 1468.362031 -1370.000000 20 99.974102 0.560000 1498 1498 0.000000
421 21 0 0 1066.246055 -72.556250 3 99.974102 0.560000 1498 1498 0.000000
421 11 0 0 838.828203 -200.000000 2 99.974102 0.560000 1498 1498 0.000000
421 6 0 0 1173.517422 -1065.000000 14 99.974102 0.560000 1498 1498 0.000000
421 20 0 0 1068.724609 -370.000000 6 99.974102 0.560000 1498 1498 0.000000
421 24 0 0 1118.621016 -720.000000 10 99.974102 0.560000 1498 1498 0.000000
421 7 0 0 1343.621016 -495.000000 10 99.974102 0.560000 1498 1498 0.000000
421 17 0 0 1358.632682 -380.014231 9 99.974102 0.560000 1498 1498 0.000000
421 10 0 0 1203.413828 -1435.000000 18 99.974102 0.560000 1498 1498 0.000000
421 16 0 0 1358.569219 -680.000000 12 99.974102 0.560000 1498 1498 0.000000
421 13 0 0 1013.724609 -425.000000 6 99.974102 0.560000 1498 1498 0.000000
421 29 0 0 1223.517422 -1015.000000 14 99.974102 0.560000 1498 1498 0.000000
421 22 0 0 1178.672812 -460.000000 8 99.974102 0.560000 1498 1498 0.000000
