IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_GOODS_PRICE
741 11 5.108602 47 47 46000 0 47000 47720 0.005676
741 10 5.108602 45 45 44000 0 45000 45680 0.005655
761 12 5.108280 60 60 68898 7462 60000 61033 0.005669
761 6 5.108280 64 64 60718 21893 64000 57600 0.005659
761 9 5.108280 62 62 73186 8052 62000 63432 0.005662
761 7 5.107526 67 67 60002 3998 67000 60300 0.005667
761 15 5.107526 69 69 68000 0 69000 70160 0.005649
761 8 5.107526 61 61 60000 0 61000 62000 0.005652
761 4 5.107526 60 60 59000 0 60000 60980 0.005661
761 13 5.107526 59 59 58000 0 59000 59960 0.005672
761 14 5.107526 61 61 60000 0 61000 62000 0.005659
761 5 5.107526 64 64 63000 0 64000 65060 0.005654
