IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
601 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006398 0.560000 4222 4222 1965.792754 398.527246
601 14 0 0 0 0.000000 0 0 2201.360000 -0.000000 0 0.006384 0.560000 3931 3931 1813.500000 387.860000
601 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006348 0.560000 3567 3567 1645.583333 351.936667
601 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006344 0.560000 3348 3348 1544.833333 330.046667
601 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006356 0.560000 4149 4149 1914.250000 409.190000
601 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006328 0.560000 2548 2548 1175.416667 251.463333
601 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006362 0.560000 5095 5095 2350.833333 502.366667
601 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006338 0.560000 3276 3276 1511.250000 323.310000
661 14 1 1 0 0.000000 0 0 2339.544736 0.000000 21384 0.006462 0.560000 3931 3931 1836.521734 503.023002
661 8 0 0 0 0.000000 0 0 1869.405172 0.000000 5376 0.006482 0.560000 3276 3276 1511.250000 358.155172
661 7 0 0 0 0.000000 0 0 2903.206769 0.000000 7677 0.006514 0.560000 5095 5095 2350.833333 552.373436
661 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006484 0.560000 4950 4950 2394.089484 377.910516
661 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006488 0.560000 4731 4731 2278.701652 370.658348
661 11 0 0 0 0.000000 0 0 2379.911468 0.000000 2408 0.006475 0.560000 4222 4222 1965.792754 414.118714
661 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006498 0.560000 3348 3348 1544.833333 330.046667
661 10 0 0 0 0.000000 0 0 1445.358315 0.000000 2882 0.006412 0.560000 2548 2548 1175.416667 269.941649
661 4 0 0 0 0.000000 0 0 2306.432192 -0.000000 3690 0.006469 0.560000 4076 4076 1880.666667 425.765525
661 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006501 0.560000 3567 3567 1645.583333 351.936667
661 6 0 0 0 0.000000 0 0 2349.070492 -0.000000 3938 0.006509 0.560000 4149 4149 1914.250000 434.820492
661 9 0 0 0 0.000000 0 0 2424.518790 0.000000 9309 0.006467 0.560000 4222 4222 1947.833333 476.685457
721 8 0 0 0 0.000000 0 0 1888.274553 0.000000 8184 0.006563 0.560000 3276 3276 1511.250000 377.024553
721 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006567 0.560000 3348 3348 1544.833333 330.046667
721 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.006544 0.560000 4076 4076 1880.666667 401.893333
721 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006556 0.560000 4731 4731 2278.701652 370.658348
721 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006557 0.560000 4222 4222 1965.792754 398.527246
721 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006518 0.560000 4149 4149 1914.250000 409.190000
721 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006475 0.560000 3931 3931 1836.521734 364.838266
721 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006570 0.560000 3567 3567 1645.583333 351.936667
