IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
2121 1 5.181656 12 28 0 12 1 19 143.930093
2121 2 5.170981 20 29 0 17 1 20 143.930093
2141 1 5.182479 28 19 0 14 2 13 143.984067
2141 2 5.182479 29 18 1 17 1 12 143.984067
2141 3 5.179707 19 23 0 14 1 16 143.984067
2161 1 5.182479 19 10 1 14 1 7 144.020063
2161 3 5.187988 23 29 0 16 2 20 144.020063
2161 2 5.182479 18 19 1 17 1 13 144.020063
2181 1 5.182479 10 25 0 14 0 17 144.020063
2181 2 5.188411 19 20 1 17 1 14 144.020063
2181 3 5.188411 29 15 0 18 2 10 144.020063
2201 2 5.190049 20 23 1 18 2 16 144.044066
2201 1 5.190049 25 23 0 16 2 16 144.044066
2201 3 5.188411 15 18 0 19 1 12 144.044066
2221 3 5.192342 18 12 1 18 0 8 144.116088
2221 2 5.192342 23 29 0 19 1 20 144.116088
2221 1 5.190049 23 18 0 17 1 12 144.116088
2241 1 5.190049 18 20 0 18 1 14 144.134103
2241 3 5.192342 12 10 0 19 1 7 144.134103
2241 2 5.193434 29 29 0 21 2 20 144.134103
2261 3 5.192342 10 29 0 19 0 20 144.251212
2261 2 5.193434 29 20 1 21 1 14 144.251212
2261 1 5.191351 20 16 2 17 1 11 144.251212
2281 1 5.191351 16 23 0 19 2 16 144.251212
2281 3 5.188727 29 16 0 21 2 11 144.251212
2281 2 5.193434 20 13 0 22 1 9 144.251212
2301 3 5.188727 16 16 0 22 1 11 144.251212
2301 1 5.187712 23 12 0 20 1 8 144.251212
2301 2 5.193434 13 18 0 23 1 12 144.251212
2321 1 5.187712 12 25 0 21 1 17 144.251212
2321 3 5.188727 16 16 0 23 1 11 144.251212
2321 2 5.183961 18 28 0 24 1 19 144.251212
2341 2 5.183402 28 9 0 26 2 6 138.409038
2341 1 5.183402 25 5 0 21 0 3 138.409038
2341 3 5.188727 16 3 0 25 2 2 138.409038
2361 3 5.188727 3 19 0 25 0 13 138.409038
2361 2 5.183402 9 23 0 26 0 16 138.409038
2361 1 5.183402 5 16 0 22 1 11 138.409038
2381 1 5.188969 16 28 0 22 0 19 138.409038
2381 2 5.188969 23 22 0 27 1 15 138.409038
2381 3 5.188969 19 29 0 26 1 20 138.409038
2401 1 5.195328 28 23 0 24 2 16 138.409038
2401 3 5.195328 29 19 0 27 1 13 138.409038
2401 2 5.188969 22 19 0 29 2 13 138.409038
2421 2 5.188969 19 15 0 31 2 10 138.409038
2421 1 5.195328 23 28 0 24 0 19 138.409038
2421 3 5.195328 19 16 0 27 0 11 138.409038
2441 3 5.195328 16 22 0 29 2 15 138.409038
2441 2 5.188969 15 25 0 32 1 17 138.409038
2441 1 5.203531 28 26 0 26 2 18 138.409038
2461 3 5.204630 22 19 0 30 1 13 138.409038
2461 2 5.204630 25 29 1 33 2 20 138.409038
2461 1 5.203531 26 13 0 28 2 9 138.409038
2481 1 5.203531 13 13 0 29 1 9 138.409038
2481 3 5.204630 19 16 0 31 1 11 138.409038
2481 2 5.208586 29 22 0 33 0 15 138.409038
